gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Ubr1,0.32229786500000007,0.0036783542508990095,4,4,0.7515804298960805
Htr1b,0.31032006087499997,0.0036994726902576875,4,4,0.7515804298960805
Plcl1,0.5401707073750002,0.003719641411607091,4,4,0.7515804298960805
Gm42151,-0.42428776724999995,0.0037358787858277342,4,4,0.7515804298960805
Gm57323,-0.16102650100000004,0.003754983108388241,4,4,0.7515804298960805
Gm10501,-0.21746555049999994,0.0037802225995363795,4,4,0.7515804298960805
Gm6170,0.10607925774999999,0.003793385475903917,4,4,0.7515804298960805
Eif3e,0.25670234075,0.003859416365999682,4,4,0.7515804298960805
AI593442,0.4891962301249997,0.003879472078494468,4,4,0.7515804298960805
Pdzd2,0.3348669128749999,0.0038914866228658344,4,4,0.7515804298960805
Gm49279,0.26500826725000004,0.003960323982740555,4,4,0.7515804298960805
Or4b1,0.22724031025,0.004054943071008707,4,4,0.7515804298960805
4930443G03Rik,-0.13429108674999998,0.004084030984055872,4,4,0.7515804298960805
Gm4784,-0.2938930272500002,0.0041263237549807735,4,4,0.7515804298960805
Gm49527,-0.15466090274999988,0.004144191983996958,4,4,0.7515804298960805
Coasy,-0.11101705075000001,0.004189120994646099,4,4,0.7515804298960805
Nlrc4,0.16238530725,0.004192071347398112,4,4,0.7515804298960805
Gm58281,0.211142287625,0.004215171262659965,4,4,0.7515804298960805
